date,team,elo_before
1885-04-11,Northern Ireland,1430.148199353282
1885-04-11,Wales,1434.8826488344018
1885-11-28,USA,1500.0
1885-11-28,Canada,1500.0
1886-02-27,Wales,1447.5579004254105
1886-02-27,Northern Ireland,1417.4729477622734
1886-03-13,Northern Ireland,1411.051418368405
1886-03-13,England,1498.9911964300754
1886-03-20,Northern Ireland,1400.7044366295058
1886-03-20,Scotland,1635.9779553822405
1886-03-27,Scotland,1642.2699711205269
1886-03-27,England,1509.3381781689745
1886-03-29,Wales,1453.979429819279
1886-03-29,England,1515.1908152912692
1886-04-10,Scotland,1636.4173339982322
1886-04-10,Wales,1442.8676191449783
1886-11-25,USA,1487.1987000039423
1886-11-25,Canada,1512.8012999960577
1887-02-05,England,1526.3026259655699
1887-02-05,Northern Ireland,1394.4124208912194
1887-02-19,Scotland,1639.5333558480515
1887-02-19,Northern Ireland,1390.2453130405593
1887-02-26,England,1530.46973381623
1887-02-26,Wales,1439.751597295159
1887-03-12,Northern Ireland,1387.883556024828
1887-03-12,Wales,1434.7487826045663
1887-03-19,England,1535.4725485068227
1887-03-19,Scotland,1641.8951128637827
1887-03-21,Wales,1426.2663116344982
1887-03-21,Scotland,1651.7102776553263
1888-02-04,England,1525.6573837152791
1888-02-04,Wales,1419.7277567879914
1888-03-03,Wales,1415.0461977890848
1888-03-03,Northern Ireland,1396.3660269948962
1888-03-10,Scotland,1658.248832501833
1888-03-10,Wales,1421.757245385463
1888-03-17,Scotland,1660.7683858456223
1888-03-17,England,1530.3389427141858
1888-03-24,Northern Ireland,1389.654979398518
1888-03-24,Scotland,1644.963301324142
1888-04-07,Northern Ireland,1383.8493877033454
1888-04-07,England,1546.144027235666
1888-09-19,Scotland,1650.7688930193146
1888-09-19,Canada,1504.9104899161143
1889-02-23,England,1554.3700130462148
1889-02-23,Wales,1419.2376920416737
1889-03-02,England,1558.4758887841183
1889-03-02,Northern Ireland,1375.6234018927967
1889-03-09,Scotland,1654.6769615199396
1889-03-09,Northern Ireland,1372.3419417875202
1889-04-13,England,1561.7573488893947
1889-04-13,Scotland,1656.6703603379246
1889-04-15,Wales,1415.1318163037702
1889-04-15,Scotland,1666.8167651763433
1889-04-27,Northern Ireland,1370.3485429695352
1889-04-27,Wales,1419.239908743804
1890-02-08,Wales,1430.700413959884
1890-02-08,Northern Ireland,1358.8880377534554
1890-03-15,Northern Ireland,1350.9260242334133
1890-03-15,England,1551.610944050976
1890-03-15,Wales,1438.662427479926
1890-03-15,England,1558.7914875080385
1890-03-22,Scotland,1662.7086727363094
1890-03-22,Wales,1429.2411410427012
1890-03-29,Northern Ireland,1343.7454807763509
1890-03-29,Scotland,1665.266810981824
1890-04-05,Scotland,1669.6342496564016
1890-04-05,England,1568.2127739452633
1891-02-07,Northern Ireland,1339.3780421017732
1891-02-07,Wales,1426.6830027971866
1891-03-07,England,1573.437520869738
1891-03-07,Wales,1417.0482328731796
1891-03-07,England,1577.158484837035
1891-03-07,Northern Ireland,1349.0128120257802
1891-03-21,Wales,1413.3272689058824
1891-03-21,Scotland,1664.409502731927
1891-03-28,Scotland,1670.3158404514056
1891-03-28,Northern Ireland,1346.3855463280445
1891-04-04,England,1579.7857505347708
1891-04-04,Scotland,1671.9187988629617
1892-02-27,Wales,1407.4209311864038
1892-02-27,Northern Ireland,1344.7825879164884
1892-03-05,Northern Ireland,1349.1493038979636
1892-03-05,England,1589.5593601530732
1892-03-05,Wales,1403.0542152049286
1892-03-05,England,1595.7245657980893
1892-03-19,Northern Ireland,1342.9840982529474
1892-03-19,Scotland,1662.1451892446594
1892-03-26,Scotland,1666.5591862000053
1892-03-26,Wales,1395.6599793340258
1892-04-02,Scotland,1668.6738837909409
1892-04-02,England,1603.118801668992
1893-02-25,England,1617.5532105438122
1893-02-25,Northern Ireland,1338.5701012976015
1893-03-13,England,1619.5815071720701
1893-03-13,Wales,1393.5452817430903
1893-03-18,Wales,1390.8901798660731
1893-03-18,Scotland,1654.2394749161208
1893-03-25,Scotland,1659.8562128019105
1893-03-25,Northern Ireland,1336.5418046693435
1893-04-01,England,1622.2366090490873
1893-04-01,Scotland,1661.4644065276611
1894-02-24,Wales,1385.2734419802835
1894-02-24,Northern Ireland,1334.9336109435928
1894-03-03,Northern Ireland,1329.009470484859
1894-03-03,England,1630.505067816681
1894-03-12,Wales,1391.1975824390172
1894-03-12,England,1625.2787700462168
1894-03-24,Scotland,1653.1959477600674
1894-03-24,Wales,1384.8759294935853
1894-03-31,Northern Ireland,1334.2357682553234
1894-03-31,Scotland,1655.3388873228541
1894-04-07,Scotland,1659.714549798441
1894-04-07,England,1631.6004229916487
1895-03-09,England,1635.129332481381
1895-03-09,Northern Ireland,1329.8601057797364
1895-03-16,Northern Ireland,1328.0914414373776
1895-03-16,Wales,1382.7329899307986
1895-03-18,England,1636.8979968237397
1895-03-18,Wales,1384.0311442907307
1895-03-23,Wales,1391.7119604461723
1895-03-23,Scotland,1656.1856403087088
1895-03-30,Scotland,1651.776270706438
1895-03-30,Northern Ireland,1326.7932870774455
1895-04-06,England,1629.2171806682982
1895-04-06,Scotland,1653.3703167854474
1896-02-29,Wales,1396.121330048443
1896-02-29,Northern Ireland,1325.1992409984362
1896-03-07,Northern Ireland,1319.7568948014302
1896-03-07,England,1637.0681630433653
1896-03-16,Wales,1401.563676245449
1896-03-16,England,1641.5188977062114
1896-03-21,Scotland,1645.5193344103802
1896-03-21,Wales,1395.3872989461213
1896-03-28,Northern Ireland,1315.3061601385841
1896-03-28,Scotland,1647.8709907842785
1896-04-04,Scotland,1642.025302130529
1896-04-04,England,1647.695275005539
1897-02-20,England,1640.3455092317336
1897-02-20,Northern Ireland,1321.1518487923336
1897-03-06,Northern Ireland,1319.5082236819485
1897-03-06,Wales,1393.035642572223
1897-03-20,Wales,1383.7961136214835
1897-03-20,Scotland,1649.3750679043346
1897-03-27,Scotland,1644.940107060749
1897-03-27,Northern Ireland,1328.747752632688
1897-03-29,England,1641.9891343421186
1897-03-29,Wales,1388.2310744650692
1897-04-03,England,1644.2978206793844
1897-04-03,Scotland,1646.609984096421
1898-02-19,Wales,1385.9223881278035
1898-02-19,Northern Ireland,1327.077875597016
1898-03-05,Northern Ireland,1341.3557980653995
1898-03-05,England,1631.5579614099343
1898-03-19,Scotland,1659.349843365871
1898-03-19,Wales,1371.64446565942
1898-03-26,Northern Ireland,1336.3418327525765
1898-03-26,Scotland,1661.2884423913254
1898-03-28,Wales,1369.7058666339656
1898-03-28,England,1636.5719267227573
1898-04-02,Scotland,1665.5889450734535
1898-04-02,England,1642.1072554548302
1899-02-18,England,1655.518891979849
1899-02-18,Northern Ireland,1332.0413300704483
1899-03-04,Northern Ireland,1330.4345247441638
1899-03-04,Wales,1364.1705379018927
1899-03-18,Wales,1356.054974988524
1899-03-18,Scotland,1652.1773085484347
1899-03-20,England,1657.1256973061336
1899-03-20,Wales,1351.1679536505685
1899-03-25,Scotland,1657.0643298863902
1899-03-25,Northern Ireland,1338.5500876575325
1899-04-08,England,1658.8879820135162
1899-04-08,Scotland,1658.7138646538608
1900-02-03,Scotland,1651.5197822351852
1900-02-03,Wales,1349.405668943186
1900-02-24,Wales,1347.6075026252608
1900-02-24,Northern Ireland,1336.9005528900618
1900-03-03,Northern Ireland,1329.983321684397
1900-03-03,Scotland,1653.3179485531102
1900-03-17,Northern Ireland,1325.6514111745498
1900-03-17,England,1666.0820644321918
1900-03-26,Wales,1354.5247338309257
1900-03-26,England,1670.0893150051263
1900-04-07,Scotland,1657.6498590629574
1900-04-07,England,1664.5749389484367
1901-02-23,Scotland,1665.033244442954
1901-02-23,Northern Ireland,1321.6441606016153
1901-03-02,Wales,1360.0391098876153
1901-03-02,Scotland,1666.4786161490315
1901-03-09,England,1657.1915535684402
1901-03-09,Northern Ireland,1320.1987888955377
1901-03-18,England,1658.6870823248375
1901-03-18,Wales,1365.3680670934077
1901-03-23,Northern Ireland,1318.7032601391404
1901-03-23,Wales,1363.4853089138624
1901-03-30,England,1660.569840504383
1901-03-30,Scotland,1661.149658943239
1902-02-22,Wales,1375.0613618841178
1902-02-22,Northern Ireland,1307.127207168885
1902-03-01,Northern Ireland,1321.6164589176271
1902-03-01,Scotland,1663.9355728393455
1902-03-03,Wales,1360.5721101353756
1902-03-03,England,1657.7839266082765
1902-03-15,Scotland,1667.9081028556316
1902-03-15,Wales,1365.708211748109
1902-03-22,Northern Ireland,1317.643928901341
1902-03-22,England,1652.647824995543
1902-05-03,England,1656.7561134815787
1902-05-03,Scotland,1669.7054612733075
1902-07-20,Uruguay,1500.0
1902-07-20,Argentina,1500.0
1902-10-12,Austria,1500.0
1902-10-12,Hungary,1500.0
1903-02-14,England,1654.301739451528
1903-02-14,Northern Ireland,1313.5356404153054
1903-03-02,England,1655.7674890332848
1903-03-02,Wales,1363.9108533304332
1903-03-09,Wales,1362.0136887265426
1903-03-09,Scotland,1672.1598353033582
1903-03-21,Scotland,1676.7549234859207
1903-03-21,Northern Ireland,1312.0698908335485
1903-03-28,Northern Ireland,1330.780525644343
1903-03-28,Wales,1357.4186005439801
1903-04-04,England,1657.6646536371754
1903-04-04,Scotland,1658.0442886751262
1903-04-05,Hungary,1492.8012999960577
1903-04-05,Czechoslovakia,1500.0
1903-06-11,Hungary,1500.1920231025056
1903-06-11,Austria,1507.1987000039423
1903-09-13,Argentina,1512.8012999960577
1903-09-13,Uruguay,1487.1987000039423
1903-10-11,Austria,1499.8131267362064
1903-10-11,Hungary,1507.5775963702415
1904-02-29,Wales,1349.499295129295
1904-02-29,England,1644.8734260401357
1904-03-12,Northern Ireland,1338.6998310590282
1904-03-12,England,1639.7763700898022
1904-03-12,Scotland,1670.835516272166
1904-03-12,Wales,1354.5963510796284
1904-03-21,Wales,1362.9268864001897
1904-03-21,Northern Ireland,1333.9173563283223
1904-03-26,Northern Ireland,1347.4688076332623
1904-03-26,Scotland,1662.5049809516047
1904-04-09,Scotland,1657.0011978270636
1904-04-09,England,1644.558844820508
1904-05-01,Belgium,1500.0
1904-05-01,France,1500.0
1904-06-02,Hungary,1500.1716913460934
1904-06-02,Austria,1507.2190317603545
1904-10-09,Austria,1499.8323680680905
1904-10-09,Hungary,1507.5583550383574
1905-02-12,France,1502.8012999960577
1905-02-12,Switzerland,1500.0
1905-02-25,England,1657.6867457883632
1905-02-25,Northern Ireland,1352.9725907578033
1905-03-06,Wales,1349.3754350952497
1905-03-06,Scotland,1643.8732968592085
1905-03-18,Scotland,1628.7949335281462
1905-03-18,Northern Ireland,1361.1987680773907
1905-03-27,England,1649.4605684687758
1905-03-27,Wales,1364.453798426312
1905-04-01,England,1651.426534290303
1905-04-01,Scotland,1630.9458586758763
1905-04-08,Northern Ireland,1359.0478429296606
1905-04-08,Wales,1362.487832604785
1905-04-09,Hungary,1500.153483069224
1905-04-09,Austria,1507.237240037224
1905-04-17,Guernsey,1500.0
1905-04-17,Alderney,1500.0
1905-04-27,Jersey,1500.0
1905-04-27,Guernsey,1507.1987000039423
1905-04-30,Belgium,1497.1987000039423
1905-04-30,Netherlands,1500.0
1905-05-07,Belgium,1484.4718673855282
1905-05-07,France,1509.9258682454263
1905-05-14,Netherlands,1512.7268326184142
1905-05-14,Belgium,1492.3585910788506
1905-07-21,Guyana,1500.0
1905-07-21,Trinidad & Tobago,1500.0
1905-08-15,Argentina,1499.3358366874975
1905-08-15,Uruguay,1500.6641633125025
1906-02-17,Northern Ireland,1356.338034905875
1906-02-17,England,1658.0914440123165
1906-03-03,Scotland,1624.2809489538627
1906-03-03,Wales,1365.1976406285705
1906-03-17,Northern Ireland,1351.569724176494
1906-03-17,Scotland,1606.5277671377282
1906-03-19,Wales,1382.950822444705
1906-03-19,England,1662.8597547416975
1906-03-29,Jersey,1487.390723106448
1906-03-29,Guernsey,1519.8079768974944
1906-04-01,Hungary,1497.541123357041
1906-04-01,Czechoslovakia,1492.609276893552
1906-04-02,Wales,1377.7109761348565
1906-04-02,Northern Ireland,1345.7558208344317
1906-04-02,Guernsey,1531.7289966971962
1906-04-02,Alderney,1492.8012999960577
1906-04-07,Scotland,1612.3416704797905
1906-04-07,England,1668.099601051546
1906-04-22,France,1502.0391445521038
1906-04-22,Belgium,1485.6908048809125
1906-04-29,Belgium,1498.9197702979827
1906-04-29,Netherlands,1519.3946188163522
1906-05-13,Netherlands,1511.6443837363768
1906-05-13,Belgium,1506.6700053779582
1906-08-15,Uruguay,1503.430193590242
1906-08-15,Argentina,1496.569806409758
1906-10-07,Czechoslovakia,1495.5408608116609
1906-10-07,Hungary,1494.6095394389322
1906-10-21,Argentina,1509.552044795383
1906-10-21,Uruguay,1490.447955204617
1906-11-04,Hungary,1497.435522915127
1906-11-04,Austria,1509.849599749407
1907-02-16,England,1659.3661517694538
1907-02-16,Northern Ireland,1349.3811364960961
1907-02-23,Northern Ireland,1347.6557526578497
1907-02-23,Wales,1374.085660473192
1907-03-04,Wales,1386.172086482905
1907-03-04,Scotland,1621.0751197618827
1907-03-16,Scotland,1607.3763364332533
1907-03-16,Northern Ireland,1335.569326648137
1907-03-18,England,1661.0915356077003
1907-03-18,Wales,1399.8708698115342
1907-03-21,Alderney,1486.5996434687968
1907-03-21,Jersey,1475.4697033067462
1907-04-04,Jersey,1485.7899391997291
1907-04-04,Guernsey,1537.930653224457
1907-04-06,England,1653.3139321387598
1907-04-06,Scotland,1609.481171979151
1907-04-07,Hungary,1504.9666761028182
1907-04-07,Czechoslovakia,1492.714877335466
1907-04-14,Belgium,1519.6027082151356
1907-04-14,Netherlands,1498.7116808991993
1907-04-21,Belgium,1506.2571249066928
1907-04-21,France,1488.8101791350336
1907-05-05,Austria,1502.3184465617157
1907-05-05,Hungary,1511.843723975784
1907-05-09,Netherlands,1512.0572642076422
1907-05-09,Belgium,1492.999864862096
1907-10-06,Czechoslovakia,1485.8378294625002
1907-10-06,Hungary,1504.3904874407617
1907-11-03,Hungary,1496.6927113741754
1907-11-03,Austria,1509.7716830967381
1908-02-15,Northern Ireland,1333.4644911022392
1908-02-15,England,1649.395430407058
1908-03-07,Scotland,1613.3996737108528
1908-03-07,Wales,1407.6484732804747
1908-03-08,Switzerland,1492.8754317506314
1908-03-08,France,1502.0674391796304
1908-03-14,Northern Ireland,1328.9862010776824
1908-03-14,Scotland,1616.3353668114376
1908-03-16,Wales,1404.71278017989
1908-03-16,England,1653.8737204316149
1908-03-29,Belgium,1506.2984968363594
1908-03-29,Netherlands,1498.7586322333789
1908-04-02,Guernsey,1549.2995070961927
1908-04-02,Alderney,1476.2794075758138
1908-04-04,Scotland,1621.4112858116532
1908-04-04,England,1659.8261943049654
1908-04-05,Hungary,1504.2418437954686
1908-04-05,Czechoslovakia,1493.5356055290865
1908-04-05,Switzerland,1480.3197003537196
1908-04-05,Germany,1500.0
1908-04-09,Guernsey,1557.2282270276075
1908-04-09,Jersey,1474.4210853279935
1908-04-11,Wales,1398.7603063065394
1908-04-11,Northern Ireland,1323.9102820774667
1908-04-12,France,1514.6231705765422
1908-04-12,Belgium,1493.298451270738
1908-04-26,Netherlands,1511.7586777990002
1908-04-26,Belgium,1506.6551154297704
1908-05-03,Austria,1502.2225506754448
1908-05-03,Hungary,1511.1590935327713
1908-05-10,Netherlands,1518.8225769119988
1908-05-10,France,1501.2665064175098
1908-06-06,Austria,1509.6599479810702
1908-06-06,England,1661.5804216391725
1908-06-07,Austria,1501.1433135435816
1908-06-07,Germany,1492.2714651733895
1908-06-08,Austria,1508.108421139534
1908-06-08,England,1670.0970560766611
1908-06-10,Hungary,1503.721696227146
1908-06-10,England,1678.3315735544995
1908-06-13,Czechoslovakia,1486.6183557917839
1908-06-13,England,1686.2165408630794
1908-07-12,Sweden,1500.0
1908-07-12,Norway,1500.0
1908-08-15,Uruguay,1483.7477847547575
1908-08-15,Argentina,1516.2522152452425
1908-09-13,Argentina,1518.1708183768853
1908-09-13,Uruguay,1481.8291816231147
1908-10-04,Argentina,1524.436348371104
1908-10-04,Uruguay,1475.563651628896
1908-10-22,France,1494.5265737994214
1908-10-22,Denmark,1500.0
1908-10-23,Netherlands,1525.5625095300873
1908-10-23,Sweden,1507.1987000039423
1908-10-25,Netherlands,1535.03444825779
1908-10-25,Sweden,1497.7267612762396
1908-10-26,Belgium,1499.5912163167718
1908-10-26,Sweden,1491.4851337795953
1908-11-01,Hungary,1495.836728918566
1908-11-01,Austria,1499.8739036616955
1909-02-13,England,1693.4259019285569
1909-02-13,Northern Ireland,1338.5570439699645
1909-03-01,Wales,1384.1135444140416
1909-03-01,Scotland,1619.657058477446
1909-03-15,England,1694.7851282869515
1909-03-15,Wales,1397.8282293747427
1909-03-15,Scotland,1605.942373516745
1909-03-15,Northern Ireland,1337.19781761157
1909-03-18,Guernsey,1542.4038143641437
1909-03-18,Jersey,1489.2454979914573
1909-03-20,Northern Ireland,1335.0595494247805
1909-03-20,Wales,1395.9808847723725
1909-03-21,Belgium,1506.5763477295034
1909-03-21,Netherlands,1541.2760757544343
1909-03-25,Guernsey,1548.2605332845444
1909-03-25,Alderney,1468.350687644399
1909-04-03,England,1696.6324728893217
1909-04-03,Scotland,1608.0806417035344
1909-04-04,Germany,1485.3063575774372
1909-04-04,Switzerland,1488.04823518033
1909-04-04,Hungary,1503.1428545163724
1909-04-04,Germany,1492.5779418912905
1909-04-25,Netherlands,1553.133745977959
1909-04-25,Belgium,1494.7186775059786
1909-05-02,Austria,1492.5677780638891
1909-05-02,Hungary,1500.0637858283317
1909-05-09,Belgium,1488.9864962721347
1909-05-09,France,1484.6840986377506
1909-05-29,Hungary,1512.6650863400575
1909-05-29,England,1701.6822141909058
1909-05-30,Hungary,1505.172576195002
1909-05-30,Austria,1479.9664775521633
1909-05-31,Hungary,1501.717158537207
1909-05-31,England,1709.1747243359614
1909-06-01,Austria,1483.4218952099582
1909-06-01,England,1716.1768344795134
1909-08-15,Argentina,1510.3957617470728
1909-08-15,Uruguay,1489.6042382529272
1909-09-19,Uruguay,1482.9472779273854
1909-09-19,Argentina,1517.0527220726146
1909-10-10,Argentina,1518.9269016207982
1909-10-10,Uruguay,1481.0730983792018
1909-11-07,Hungary,1494.715048393655
1909-11-07,Austria,1477.0671883470125
1910-02-12,Northern Ireland,1323.9394943993796
1910-02-12,England,1722.5315413424591
1910-03-05,Scotland,1603.0309004019502
1910-03-05,Wales,1407.1009397977734
1910-03-13,Belgium,1496.071481121634
1910-03-13,Netherlands,1558.865927211803
1910-03-14,Wales,1404.0207913556449
1910-03-14,England,1715.571969622892
1910-03-19,Northern Ireland,1330.8990661189466
1910-03-19,Scotland,1606.1110488440788
1910-04-02,Scotland,1591.4561224004906
1910-04-02,England,1720.1384941159906
1910-04-03,France,1477.5991137882513
1910-04-03,Belgium,1505.0046938624034
1910-04-03,Switzerland,1480.7766508664768
1910-04-03,Germany,1495.6570105793312
1910-04-07,Jersey,1483.3887790710567
1910-04-07,Alderney,1460.6109619076424
1910-04-10,Netherlands,1549.9327144710335
1910-04-10,Belgium,1517.0642445539481
1910-04-11,Wales,1399.4542668625463
1910-04-11,Northern Ireland,1345.5539925625349
1910-04-21,Guernsey,1556.000259021301
1910-04-21,Jersey,1489.9950559729657
1910-04-24,Netherlands,1556.2845882107542
1910-04-24,Germany,1508.0590828631146
1910-05-01,Austria,1480.3296166573696
1910-05-01,Hungary,1491.452620083298
1910-05-15,Italy,1500.0
1910-05-15,France,1465.5395630967066
1910-05-16,Germany,1502.084071315329
1910-05-16,Belgium,1510.7123708142274
1910-05-26,Hungary,1483.95632984789
1910-05-26,Italy,1506.3122179815987
1910-05-27,Argentina,1525.1550389023673
1910-05-27,Chile,1500.0
1910-05-29,Chile,1493.4541234456367
1910-05-29,Uruguay,1474.8449610976327
1910-06-05,Argentina,1531.7009154567306
1910-06-05,Chile,1482.9190203070289
1910-06-12,Argentina,1537.6625158578918
1910-06-12,Uruguay,1485.3800642362405
1910-08-15,Uruguay,1479.50244175659
1910-08-15,Argentina,1543.5401383375422
1910-09-11,Chile,1476.9574199058677
1910-09-11,Argentina,1534.571535842928
1910-09-11,Norway,1492.8012999960577
1910-09-11,Sweden,1484.5000023668638
1910-10-16,Germany,1489.5131811657157
1910-10-16,Netherlands,1562.2595997585397
1910-10-16,Russia,1500.0
1910-10-16,Czechoslovakia,1479.4089947263064
1910-10-23,Russia,1506.6620876882666
1910-10-23,Czechoslovakia,1472.7469070380398
1910-11-06,Hungary,1491.758027481771
1910-11-06,Austria,1487.8259068927775
1910-11-13,Argentina,1545.7854831798684
1910-11-13,Uruguay,1488.4710442512044
1910-11-27,Argentina,1541.5436080273712
1910-11-27,Uruguay,1492.7129194037016
1911-01-01,France,1459.227345115108
1911-01-01,Hungary,1498.8527671929155
1911-01-06,Italy,1498.5105203477176
1911-01-06,Hungary,1510.5732048085479
1911-01-08,Switzerland,1468.3745785826934
1911-01-08,Hungary,1523.0515466702382
1911-01-28,Northern Ireland,1339.7149472322185
1911-01-28,Wales,1405.2933121928627
1911-02-11,England,1709.3148194288876
1911-02-11,Northern Ireland,1328.7274417913234
1911-03-06,Wales,1416.2808176337578
1911-03-06,Scotland,1602.2797970875936
1911-03-13,England,1710.4980685513585
1911-03-13,Wales,1418.7067244511948
1911-03-18,Scotland,1599.8538902701566
1911-03-18,Northern Ireland,1327.5441926688525
1911-03-19,Belgium,1523.2832609638408
1911-03-19,Netherlands,1573.0424159462007
1911-03-26,Germany,1478.7303649780547
1911-03-26,Switzerland,1477.0774265139378
1911-04-01,England,1712.3958786619837
1911-04-01,Scotland,1601.95328227122
1911-04-02,Netherlands,1584.4784680895739
1911-04-02,Belgium,1511.8472088204676
1911-04-09,France,1447.5069074994756
1911-04-09,Italy,1486.0321784860273
1911-04-20,Guernsey,1541.5554481780125
1911-04-20,Alderney,1454.0046850057333
1911-04-23,Belgium,1506.4437503397028
1911-04-23,Germany,1485.8852816454546
1911-04-23,Switzerland,1469.9225098465379
1911-04-23,France,1445.7557590741353
1911-04-27,Jersey,1504.4398668162542
1911-04-27,Guernsey,1546.6269728865982
1911-04-30,Belgium,1513.1066701928291
1911-04-30,France,1439.184806520654
1911-05-07,Austria,1480.731167181633
1911-05-07,Hungary,1514.3486987389938
1911-05-07,Italy,1487.7833269113676
1911-05-07,Switzerland,1476.493462400019
1911-05-21,Switzerland,1479.5914065106324
1911-05-21,Italy,1484.6853828007543
1911-06-18,Sweden,1497.5199781186952
1911-06-18,Germany,1479.2223617923282
1911-08-15,Argentina,1527.5040331433217
1911-08-15,Uruguay,1506.752494287751
1911-09-17,Sweden,1484.2408490097785
1911-09-17,Norway,1479.7813242442262
1911-09-17,Uruguay,1520.0945116905293
1911-09-17,Argentina,1514.1620157405434
1911-10-08,Uruguay,1507.1366242581423
1911-10-08,Argentina,1527.1199031729304
1911-10-09,Germany,1492.501490901245
1911-10-09,Austria,1488.8434412307117
1911-10-22,Argentina,1529.3830962015531
1911-10-22,Uruguay,1504.8734312295196
1911-10-22,Finland,1500.0
1911-10-22,Sweden,1491.3216962121535
1911-10-29,Germany,1479.6034548387306
1911-10-29,Sweden,1504.3515301903776
1911-10-29,Hungary,1506.236424689915
1911-10-29,Switzerland,1486.9257649856618
1911-10-29,Luxembourg,1500.0
1911-10-29,France,1433.8105961445729
1911-10-29,Uruguay,1498.3111850558794
1911-10-29,Argentina,1535.9453423751934
1911-11-05,Hungary,1512.9312980190914
1911-11-05,Austria,1501.7414772932261
1911-12-17,Germany,1467.4707761169363
1911-12-17,Hungary,1519.8359572800227
1912-01-28,France,1448.259660283494
1912-01-28,Belgium,1518.4808805689104
1912-02-10,Northern Ireland,1325.4448006677892
1912-02-10,England,1706.9849297273627
1912-02-10,France,1447.4046507826674
1912-02-10,Catalonia,1500.0
1912-02-18,France,1456.0486394665857
1912-02-18,Switzerland,1480.2308916564855
1912-02-20,Belgium,1519.335890069737
1912-02-20,Switzerland,1472.3791099415355
1912-03-02,Scotland,1607.364231205841
1912-03-02,Wales,1416.8089143405696
1912-03-10,Belgium,1525.3415474481951
1912-03-10,Netherlands,1589.8819265703387
1912-03-11,Wales,1413.6472799748196
1912-03-11,England,1710.287165018354
1912-03-16,Northern Ireland,1322.1425653767978
1912-03-16,Scotland,1610.5258655715909
1912-03-17,Italy,1477.351024325725
1912-03-17,France,1463.9004211815356
1912-03-23,Scotland,1615.579269794378
1912-03-23,England,1715.1631926889993
1912-03-24,Netherlands,1600.8990074944372
1912-03-24,Germany,1456.1082624308465
1912-04-13,Wales,1408.7712523041744
1912-04-13,Northern Ireland,1317.0891611540108
1912-04-14,Hungary,1531.1984709661126
1912-04-14,Germany,1462.1808323578518
