team,country_abrv,fifa_rank,fifa_points,confederation
St Lucia,LCA,172,965.66,CONCACAF
Grenada,GRN,173,963.72,CONCACAF
Moldova,MDA,174,961.23,UEFA
Nepal,NEP,175,954.86,AFC
Belize,BLZ,176,950.88,CONCACAF
Cambodia,CAM,177,948.62,AFC
St Vincent and the Grenadines,VIN,178,945.25,CONCACAF
Montserrat,MSR,179,940.78,CONCACAF
Mauritius,MRI,180,932.02,CAF
Chad,CHA,181,930.22,CAF
Macau,MAC,182,922.1,AFC
Mongolia,MNG,183,913.55,AFC
Dominica,DMA,184,911.51,CONCACAF
Bhutan,BHU,185,910.96,AFC
São Tomé and Príncipe,STP,186,908.18,CAF
Laos,LAO,187,905.51,AFC
American Samoa,ASA,188,900.27,OFC
Cook Islands,COK,189,899.33,OFC
Brunei Darussalam,BRU,190,898.41,AFC
Samoa,SAM,191,894.26,OFC
Bangladesh,BAN,192,884.45,AFC
Djibouti,DJI,193,875.05,CAF
Pakistan,PAK,194,866.81,AFC
Cayman Islands,CAY,195,865.72,CONCACAF
Liechtenstein,LIE,196,862.39,UEFA
Tonga,TGA,197,861.81,OFC
Timor-Leste,TLS,198,860.06,AFC
Seychelles,SEY,199,859.56,CAF
Eritrea,ERI,200,855.56,CAF
Aruba,ARU,201,855.37,CONCACAF
Bahamas,BAH,202,854.8,CONCACAF
Somalia,SOM,203,854.72,CAF
Gibraltar,GIB,204,852.16,UEFA
Guam,GUM,205,838.33,AFC
Turks and Caicos Islands,TCA,206,832.0,CONCACAF
Sri Lanka,SRI,207,825.25,AFC
US Virgin Islands,VIR,208,823.97,CONCACAF
British Virgin Islands,VGB,209,809.32,CONCACAF
Anguilla,AIA,210,790.74,CONCACAF
San Marino,SMR,211,762.22,UEFA
